subfolder,folder,dataset,gaussian_num_points,results,rl_params.reward_function,rl_params.base_model,rl_params.rl_lr,rl_params.complexity_penalty
0,20241018_162901,,,,,,,
1,20241018_162900,,,,,,,
2,20241018_162900,01Gorilla,15004,"{'ours_30000': {'SSIM': 0.9391469955444336, 'PSNR': 29.934919357299805}}",[reward_pareto],/bigwork/nhmlhuer/git/master_evaluation/imitation_learning_with_opacity_model_long.torch,0.0005,
2,20241018_164020,18Obesobeso,24624,"{'ours_30000': {'SSIM': 0.9495764970779419, 'PSNR': 32.196285247802734}}",[reward_pareto],/bigwork/nhmlhuer/git/master_evaluation/imitation_learning_with_opacity_model_long.torch,0.0005,
2,20241018_165247,19Bear,43619,"{'ours_30000': {'SSIM': 0.9554548859596252, 'PSNR': 32.92771530151367}}",[reward_pareto],/bigwork/nhmlhuer/git/master_evaluation/imitation_learning_with_opacity_model_long.torch,0.0005,
2,20241018_170630,20Puppy,12441,"{'ours_30000': {'SSIM': 0.9549015164375305, 'PSNR': 32.338172912597656}}",[reward_pareto],/bigwork/nhmlhuer/git/master_evaluation/imitation_learning_with_opacity_model_long.torch,0.0005,
3,20241018_164221,18Obesobeso,100003,"{'ours_30000': {'SSIM': 0.9480043649673462, 'PSNR': 31.465715408325195}}",[reward_pareto],not_exisiting,0.005,
3,20241018_165653,19Bear,100001,"{'ours_30000': {'SSIM': 0.9541164040565491, 'PSNR': 32.34288787841797}}",[reward_pareto],not_exisiting,0.005,
3,20241018_171140,20Puppy,100002,"{'ours_30000': {'SSIM': 0.9505743980407715, 'PSNR': 30.563180923461914}}",[reward_pareto],not_exisiting,0.005,
3,20241018_162901,01Gorilla,100002,"{'ours_30000': {'SSIM': 0.9350279569625854, 'PSNR': 28.754240036010742}}",[reward_pareto],not_exisiting,0.005,
4,20241018_183550,,,,[reward_pareto],not_exisiting,0.001,
