subfolder,folder,dataset,gaussian_num_points,results,rl_params.reward_function,rl_params.base_model,rl_params.rl_lr,rl_params.complexity_penalty
0,20241018_162331,,,,,,,
1,20241018_162332,,,,,,,
2,20241018_163327,19Bear,40111,"{'ours_30000': {'SSIM': 0.954376220703125, 'PSNR': 32.427391052246094}}",[reward_pareto],/bigwork/nhmlhuer/git/master_evaluation/imitation_learning_no_pruning_model_long.torch,0.0005,
2,20241018_162433,01Gorilla,12396,"{'ours_30000': {'SSIM': 0.9382120370864868, 'PSNR': 29.546688079833984}}",[reward_pareto],/bigwork/nhmlhuer/git/master_evaluation/imitation_learning_no_pruning_model_long.torch,0.0005,
2,20241018_163802,20Puppy,39635,"{'ours_30000': {'SSIM': 0.9531909823417664, 'PSNR': 31.302881240844727}}",[reward_pareto],/bigwork/nhmlhuer/git/master_evaluation/imitation_learning_no_pruning_model_long.torch,0.0005,
2,20241018_162910,18Obesobeso,22874,"{'ours_30000': {'SSIM': 0.9484764933586121, 'PSNR': 31.723848342895508}}",[reward_pareto],/bigwork/nhmlhuer/git/master_evaluation/imitation_learning_no_pruning_model_long.torch,0.0005,
3,20241018_163000,18Obesobeso,34344,"{'ours_30000': {'SSIM': 0.949018120765686, 'PSNR': 31.723644256591797}}",[reward_pareto],not_exisiting,0.005,
3,20241018_164151,20Puppy,74965,"{'ours_30000': {'SSIM': 0.9527274966239929, 'PSNR': 31.080278396606445}}",[reward_pareto],not_exisiting,0.005,
3,20241018_163539,19Bear,78064,"{'ours_30000': {'SSIM': 0.9551581740379333, 'PSNR': 32.652130126953125}}",[reward_pareto],not_exisiting,0.005,
3,20241018_162432,01Gorilla,16656,"{'ours_30000': {'SSIM': 0.9377323389053345, 'PSNR': 29.298646926879883}}",[reward_pareto],not_exisiting,0.005,
4,20241018_163026,18Obesobeso,65954,"{'ours_30000': {'SSIM': 0.9504432082176208, 'PSNR': 32.19089126586914}}",[reward_pareto],not_exisiting,0.001,
4,20241018_163647,19Bear,193756,"{'ours_30000': {'SSIM': 0.9562863707542419, 'PSNR': 33.07456588745117}}",[reward_pareto],not_exisiting,0.001,
4,20241018_164407,20Puppy,190531,"{'ours_30000': {'SSIM': 0.9556165933609009, 'PSNR': 31.9365291595459}}",[reward_pareto],not_exisiting,0.001,
4,20241018_162432,01Gorilla,32473,"{'ours_30000': {'SSIM': 0.9413455724716187, 'PSNR': 30.047222137451172}}",[reward_pareto],not_exisiting,0.001,
5,20241018_170711,20Puppy,252280,"{'ours_30000': {'SSIM': 0.9577968120574951, 'PSNR': 32.785194396972656}}",[reward_pareto],not_exisiting,0.0005,
5,20241018_162531,01Gorilla,48448,"{'ours_30000': {'SSIM': 0.9436239004135132, 'PSNR': 30.539058685302734}}",[reward_pareto],not_exisiting,0.0005,
5,20241018_165102,19Bear,258806,"{'ours_30000': {'SSIM': 0.9570629000663757, 'PSNR': 33.41214370727539}}",[reward_pareto],not_exisiting,0.0005,
5,20241018_163734,18Obesobeso,89704,"{'ours_30000': {'SSIM': 0.9513561129570007, 'PSNR': 32.53855895996094}}",[reward_pareto],not_exisiting,0.0005,
6,20241018_162531,,,,,,,
7,20241018_162532,,,,,,,
8,20241018_162532,,,,,,,
9,20241018_162531,01Gorilla,11197,"{'ours_30000': {'SSIM': 0.934929370880127, 'PSNR': 28.750185012817383}}",[reward_psnr_normalized_log_num_gauss],not_exisiting,0.005,
9,20241018_164153,18Obesobeso,22224,"{'ours_30000': {'SSIM': 0.9478260278701782, 'PSNR': 31.429838180541992}}",[reward_psnr_normalized_log_num_gauss],not_exisiting,0.005,
9,20241018_170010,19Bear,39499,"{'ours_30000': {'SSIM': 0.9540908336639404, 'PSNR': 32.331809997558594}}",[reward_psnr_normalized_log_num_gauss],not_exisiting,0.005,
9,20241018_171940,20Puppy,37992,"{'ours_30000': {'SSIM': 0.9504449963569641, 'PSNR': 30.538188934326172}}",[reward_psnr_normalized_log_num_gauss],not_exisiting,0.005,
10,20241018_162531,01Gorilla,34380,"{'ours_30000': {'SSIM': 0.9426471590995789, 'PSNR': 30.34510612487793}}",[reward_psnr_normalized_log_num_gauss],not_exisiting,0.001,
10,20241018_164933,19Bear,178317,"{'ours_30000': {'SSIM': 0.9567896127700806, 'PSNR': 33.28776550292969}}",[reward_psnr_normalized_log_num_gauss],not_exisiting,0.001,
10,20241018_163655,18Obesobeso,64874,"{'ours_30000': {'SSIM': 0.9509578347206116, 'PSNR': 32.40875244140625}}",[reward_psnr_normalized_log_num_gauss],not_exisiting,0.001,
